Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 42, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 43, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 44, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 45, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 46, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 47, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 48, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 49, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 50, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 51, numero nodos--> 40, tiempo ejecucion--> 0.015
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 52, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 53, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 54, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 55, numero nodos--> 40, tiempo ejecucion--> 0.031
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 56, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 57, numero nodos--> 40, tiempo ejecucion--> 0.016
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 58, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 59, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 60, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 61, numero nodos--> 40, tiempo ejecucion--> 0.0
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 62, numero nodos--> 40, tiempo ejecucion--> 0.032
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 63, numero nodos--> 40, tiempo ejecucion--> 0.031
Algoritmo vorazSimple, nombre--> erdos_renyi_100_0.05_0.2_0.txt iteracion--> 64, numero nodos--> 40, tiempo ejecucion--> 0.109
